Hostel_ID,Hostel_Name,Address,City,State,Country,Postal_Code,Phone_Number,Email_Address,Government_Hostel,Price,Seats_Left
1,TGK Hostel,MG Road,Tumkur,Karnataka,India,572101,1234567890,info@tgkhostel.com,No,8231,8
2,Sri Durga Residency,Ashoka Road,Tiptur,Karnataka,India,572201,2345678901,sridurgaresidency@gmail.com,No,6096,11
3,Sahyadri Hostel,"NH 48, Siddaganga Institute Road",Tumkur,Karnataka,India,572103,3456789012,sahyadrihostel@gmail.com,No,5309,16
4,Shree Akshaya Hostel,Siddaganga Institute Road,Tumkur,Karnataka,India,572104,4567890123,shreeakshayahostel@gmail.com,No,6847,6
5,Anu Comforts,"NH 4, 1st Cross, Indiranagar",Tumkur,Karnataka,India,572101,5678901234,anucomforts@gmail.com,No,8894,6
6,Hotel Green Wood,"NH 206, BH Road",Gubbi,Karnataka,India,572216,6789012345,hotelgreenwood@gmail.com,No,7586,15
7,Akshay Residency,"Huliyar Road, Near KSRTC Bus Stand",Tiptur,Karnataka,India,572201,7890123456,akshayresidency@gmail.com,No,9258,16
8,Nandi Upachar,"SH 3, Aditya Nagar",Tumkur,Karnataka,India,572103,8901234567,nandiupachar@gmail.com,No,5194,8
9,Sri Durga Deluxe Lodge,Yediyur Main Road,Tumkur,Karnataka,India,572101,9012345678,sridurgadeluxelodge@gmail.com,No,8108,8
10,Srinivasa Residency,"BH Road, Near Siddaganga Hospital",Tumkur,Karnataka,India,572102,2345678901,srinivasaresidency@gmail.com,No,9035,17
11,Basaveshwara Residency,"NH 48, Near Tumkur University",Tumkur,Karnataka,India,572106,3456789012,basaveshwararesidency@gmail.com,No,9125,9
12,Kallappa Residency,"B H Road, Tiptur",Tiptur,Karnataka,India,572201,4567890123,kallapparesidency@gmail.com,No,7791,14
13,Sri Krishna Residency,"Near KSRTC Bus Stand, Ashok Nagar",Tumkur,Karnataka,India,572101,8147180891,sridurgadeluxelodge@gmail.com,No,5572,10
14,Hotel SPV Comforts,"Siddaganga Extension, Ashok Nagar",Tumkur,Karnataka,India,572101,5678901234,hotelspvcomforts@gmail.com,No,5638,6
15,Sri Sai Residency,"B H Road, Opposite to Bus Stand",Gubbi,Karnataka,India,572216,6789012345,srisairesidency@gmail.com,No,8780,20
16,Hotel Amrutha Residency,"NH 206, Tiptur",Tiptur,Karnataka,India,572201,7890123456,hotelamrutharesidency@gmail.com,No,9739,13
17,Varsha Residency,"Dabaspet, NH 4",Tumkur,Karnataka,India,572101,8901234567,varsharesidency@gmail.com,No,7796,15
18,Lakshmi Guest House,"Railway Station Road, Tiptur",Tiptur,Karnataka,India,572201,9012345678,lakshmiguesthouse@gmail.com,No,9334,11
